weather,seq_nr
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
clear,1
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
rainy,2
clear,2
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
night,3
clear,3
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,4
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,5
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
clear,6
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
rainy,7
clear,7
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
night,8
clear,8
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,9
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
clear,10
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
night,11
clear,11
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
clear,12
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
rainy,13
clear,13
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
rainy,14
clear,14
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,15
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,16
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,17
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,18
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,19
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,20
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
clear,21
